ticker,name,sector,beta,date,open,high,low,close,volume,daily_ret,change_pct,w52h,w52l,avg_vol
AAPL,Apple Inc.,Technology,1.065,2026-05-26,309.4,311.82,307.67,308.33,46602561,-0.0015866848002072942,-0.16,311.82,192.23,49912570.04
AMZN,"Amazon.com, Inc.",Consumer Cyclical,1.468,2026-05-26,267.58,269.3,262.07,265.29,37859240,-0.0038675277861218715,-0.39,278.56,169.35,45534569.96363636
GOOGL,Alphabet Inc.,Communication Services,1.267,2026-05-26,384.51,389.26,382.6,388.88,26389675,0.015432018173747286,1.54,408.61,147.33,35387733.36363637
JNJ,Johnson & Johnson,Healthcare,0.263,2026-05-26,233.0,233.13,229.11,230.18,6427813,-0.01210300429184541,-1.21,250.27,141.35,8387763.683636364
JPM,JPMorgan Chase & Co.,Financial Services,1.023,2026-05-26,308.49,309.93,305.44,306.74,7241344,0.0011750114237221165,0.12,334.16,226.96,9052706.341818182
MSFT,Microsoft Corporation,Technology,1.093,2026-05-26,416.43,419.77,413.02,416.03,30100943,-0.006068280096519163,-0.61,551.05,355.51,26315304.883636363
NVDA,NVIDIA Corporation,Technology,2.244,2026-05-26,216.58,218.18,212.0,214.86,182422520,-0.002182696326568534,-0.22,236.54,97.26,181753398.98181817
TSLA,"Tesla, Inc.",Consumer Cyclical,1.793,2026-05-26,430.02,435.2,426.12,433.59,44408993,0.017793009553766392,1.78,498.83,229.85,82484429.06545454
V,Visa Inc.,Financial Services,0.784,2026-05-26,326.45,328.5,324.53,326.48,5059609,-0.007297494526879,-0.73,372.57,293.28,6744001.487272727
WMT,Walmart Inc.,Consumer Defensive,0.652,2026-05-26,120.77,121.05,117.92,118.57,28750150,-0.014134863224411709,-1.41,135.16,91.13,20528007.09090909
